employeeid,age,income,education
A0745,63,45033,Master
A0746,20,72539,PhD
A0747,46,8178,Bachelor
A0748,52,26192,Master
A0749,56,48145,Master
A0750,35,63323,High School
A0751,37,48956,PhD
A0752,60,48565,Bachelor
A0753,40,48174,Master
A0754,51,23557,Bachelor
A0755,50,67371,Bachelor
A0756,27,39759,Bachelor
A0757,50,66343,Master
A0758,64,48942,Master
A0759,50,66022,Bachelor
A0760,43,55149,High School
A0761,37,48400,Bachelor
A0762,32,53394,High School
A0763,54,27905,Master
A0764,50,50090,Bachelor
A0765,34,75741,Bachelor
A0766,22,69623,High School
A0767,21,35225,Bachelor
A0768,20,57585,PhD
A0769,38,53720,Master
A0770,57,62258,PhD
A0771,20,51412,High School
A0772,38,46497,PhD
A0773,25,69959,Master
A0774,59,53246,High School
A0775,53,68832,High School
A0776,46,64616,High School
A0777,56,45133,Bachelor
A0778,51,47495,High School
A0779,39,78947,PhD
A0780,48,52872,High School
A0781,45,38621,Master
A0782,52,31999,Master
A0783,51,64612,PhD
A0784,30,52404,High School
A0785,58,38119,PhD
A0786,21,60119,Bachelor
A0787,60,52396,PhD
A0788,23,25093,PhD
A0789,18,58830,High School
A0790,29,69998,High School
A0791,52,88398,Master
A0792,28,50524,Bachelor
A0793,40,53490,Bachelor
A0794,31,74099,PhD
A0795,36,52531,High School
A0796,54,54130,Bachelor
A0797,33,40541,Bachelor
A0798,61,29084,PhD
A0799,45,63690,Master
A0800,62,30896,High School
A0801,48,67110,Bachelor
A0802,24,38178,Master
A0803,63,53979,High School
A0804,44,44416,PhD
A0805,34,67619,Master
A0806,24,54513,Master
A0807,32,79386,PhD
A0808,57,33745,High School
A0809,29,56208,High School
A0810,25,50710,Bachelor
A0811,19,54199,Master
A0812,61,73939,High School
A0813,55,58780,Master
A0814,43,32787,PhD
A0815,38,58003,High School
A0816,30,43766,Bachelor
A0817,36,42900,PhD
A0818,35,65688,High School
A0819,19,40965,High School
A0820,62,44304,High School
A0821,59,50486,High School
A0822,45,64193,Master
A0823,40,58724,Bachelor
A0824,21,46484,Master
A0825,21,45917,High School
A0826,29,32598,PhD
A0827,39,38602,Master
A0828,43,40184,Bachelor
A0829,57,47761,Bachelor
A0830,59,79801,High School
A0831,52,39868,Master
A0832,21,45563,High School
A0833,29,19214,High School
A0834,21,59009,Bachelor
A0835,48,26338,Bachelor
A0836,24,36401,Master
A0837,27,65635,PhD
A0838,41,18426,Bachelor
A0839,32,51439,High School
A0840,56,62014,High School
A0841,37,72882,PhD
A0842,24,36199,Master
A0843,30,40640,High School
A0844,45,77067,Master
A0845,56,49624,Bachelor
A0846,35,38956,Bachelor
A0847,64,39238,Master
A0848,28,35412,High School
A0849,53,43405,High School
A0850,53,66323,High School
A0851,19,63316,Bachelor
A0852,63,32386,High School
A0853,34,53219,Bachelor
A0854,23,43968,High School
A0855,58,61737,Bachelor
A0856,63,47655,PhD
A0857,40,55573,Master
A0858,64,47621,Master
A0859,33,17194,Master
A0860,58,50705,PhD
A0861,43,30924,PhD
A0862,63,61207,High School
A0863,18,39803,High School
A0864,53,40925,High School
A0865,47,49866,High School
A0866,19,58667,Bachelor
A0867,37,47454,Master
A0868,22,74633,PhD
A0869,48,74732,Master
A0870,25,75732,Master
A0871,47,46485,PhD
A0872,56,27771,Bachelor
A0873,19,68301,Master
A0874,30,43755,Master
A0875,21,50572,High School
A0876,62,59425,PhD
A0877,25,25933,Bachelor
A0878,56,74437,PhD
A0879,42,63124,High School
A0880,24,55284,Master
A0881,31,63364,Bachelor
A0882,46,58354,Bachelor
A0883,62,51752,PhD
A0884,38,45383,Bachelor
A0885,54,38913,High School
A0886,50,54308,High School
A0887,58,55418,Bachelor
A0888,42,66248,High School
A0889,63,53010,PhD
A0890,31,37202,Master
A0891,26,26357,Bachelor
A0892,32,48087,Master
A0893,24,49588,Master
A0894,19,48529,High School
A0895,48,27042,PhD
A0896,24,66117,PhD
A0897,58,66089,PhD
A0898,28,37651,Bachelor
A0899,30,62090,Master
A0900,30,64292,High School
A0901,43,50577,PhD
A0902,60,35773,Bachelor
A0903,25,74201,High School
A0904,31,55714,PhD
A0905,62,46234,Master
A0906,19,61593,PhD
A0907,59,74333,Master
A0908,32,42543,Bachelor
A0909,41,60371,PhD
A0910,51,79147,Master
A0911,21,33252,Master
A0912,35,41761,Master
A0913,42,41032,Bachelor
A0914,64,47625,PhD
A0915,41,46850,PhD
A0916,23,54512,Master
A0917,51,37694,Master
A0918,55,40660,PhD
A0919,20,54519,High School
A0920,36,52324,High School
A0921,64,63111,Master
A0922,63,56140,Master
A0923,53,61578,High School
A0924,36,32856,PhD
A0925,45,44249,PhD
A0926,64,77726,Bachelor
A0927,27,55881,PhD
A0928,35,61211,High School
A0929,21,54091,Master
A0930,29,56380,PhD
A0931,44,46536,PhD
A0932,46,103574,Bachelor
A0933,29,44058,Bachelor
A0934,28,49425,High School
A0935,21,13627,Master
A0936,63,66594,PhD
A0937,41,41716,Bachelor
A0938,43,49088,PhD
A0939,45,42079,PhD
A0940,64,47920,High School
A0941,21,45736,Master
A0942,53,49354,Master
A0943,32,49208,Bachelor
A0944,39,47687,Master
A0945,41,47482,High School
A0946,41,69628,Master
A0947,54,63221,High School
A0948,22,63312,PhD
A0949,23,39013,Bachelor
A0950,27,68852,High School
A0951,20,66975,Bachelor
A0952,55,41699,Master
A0953,51,72858,High School
A0954,23,39752,High School
A0955,27,22370,Bachelor
A0956,33,66523,PhD
A0957,46,48207,Bachelor
A0958,20,64654,Bachelor
A0959,28,38687,PhD
A0960,54,31073,Master
A0961,21,68478,High School
A0962,21,28891,PhD
A0963,41,26585,Bachelor
A0964,45,21116,PhD
A0965,52,8083,Master
A0966,55,34413,PhD
A0967,41,17459,Master
A0968,39,49466,Master
A0969,43,16454,High School
A0970,35,33586,Master
A0971,20,84981,Master
A0972,63,55177,High School
A0973,28,50792,PhD
A0974,26,25689,High School
A0975,50,46316,Bachelor
A0976,43,50722,Bachelor
A0977,53,25922,High School
A0978,21,51893,High School
A0979,19,67868,PhD
A0980,25,44776,Master
A0981,24,47041,Bachelor
A0982,53,19369,PhD
A0983,51,29011,PhD
A0984,57,65865,Master
A0985,36,40077,Master
A0986,46,36054,PhD
A0987,56,39611,Bachelor
A0988,23,49138,PhD
A0989,27,32624,Bachelor
A0990,58,51898,Master
A0991,59,29600,High School
A0992,22,61610,Bachelor
A0993,41,34144,PhD
A0994,58,69804,PhD
A0995,39,49850,Bachelor
A0996,43,37315,PhD
A0997,54,63672,High School
A0998,62,29383,High School
A0999,46,41794,Master
A1000,53,49999,High School
A1001,37,48182,High School
A1002,35,19871,Master
A1003,57,36190,Master
A1004,62,52524,PhD
A1005,58,30202,Bachelor
A1006,32,68996,PhD
A1007,32,57428,High School
A1008,41,42286,Bachelor
A1009,46,46696,High School
A1010,34,77923,High School
A1011,64,64040,High School
A1012,42,55703,High School
A1013,33,28767,PhD
A1014,34,74444,High School
A1015,64,65786,High School
A1016,64,47774,Master
A1017,38,41755,PhD
A1018,61,47181,PhD
A1019,44,31971,PhD
A1020,22,42938,High School
A1021,39,61447,PhD
A1022,50,22886,Bachelor
A1023,57,45289,High School
A1024,19,51706,Bachelor
A1025,52,51554,PhD
A1026,60,32316,High School
A1027,36,32268,PhD
A1028,57,66337,High School
A1029,44,31632,PhD
A1030,57,65130,Bachelor
A1031,53,42765,PhD
A1032,56,66197,Master
A1033,19,43684,Master
A1034,58,32503,High School
A1035,35,62848,Master
A1036,63,49739,Master
A1037,40,71729,Master
A1038,43,63383,High School
A1039,28,46559,High School
A1040,18,43255,PhD
A1041,53,50351,High School
A1042,37,52853,PhD
A1043,48,36774,Bachelor
A1044,25,62629,PhD
A1045,57,44040,PhD
A1046,41,43655,Bachelor
A1047,37,41890,High School
A1048,32,53465,Master
A1049,47,39619,Bachelor
A1050,37,52025,Master
A1051,55,91499,Master
A1052,19,49196,High School
A1053,23,43490,PhD
A1054,59,24985,PhD
A1055,35,50753,High School
A1056,53,33362,Bachelor
A1057,31,44367,Bachelor
A1058,43,52274,Master
A1059,51,24035,PhD
A1060,47,52362,PhD
A1061,24,54568,High School
A1062,47,30543,High School
A1063,35,44115,High School
A1064,39,22540,PhD
A1065,34,73633,PhD
A1066,48,54958,PhD
A1067,34,47306,PhD
A1068,48,47548,High School
A1069,30,66972,PhD
A1070,44,48588,PhD
A1071,37,54962,PhD
A1072,34,72779,PhD
A1073,46,44807,PhD
